"date","time","long","lat"
2015-03-19,"21:24",-81.385766522,28.530933711
2015-03-20,"10:54",-81.386152188,28.528428104
2015-03-20,"13:30",-81.386344312,28.599946396
2015-03-20,"15:20",-81.382912157,28.535675545
2015-03-20,"19:50",-81.420820839,28.507093698
2015-03-21,"10:45",-81.382888489,28.535729983
2015-03-21,"10:48",-81.38610689,28.52026941
2015-03-21,"17:47",-81.41005154,28.509182043
2015-03-21,"21:20",-81.386154694,28.527002638
2015-03-21,"22:37",-81.38615689,28.527919227
2015-03-22,"13:10",-81.375852934,28.574401925
2015-03-24,"16:45",-81.384218731,28.533331897
2015-03-24,"17:00",-81.386115464,28.522843648
2015-03-25,"08:33",-81.386113682,28.522567382
2015-03-25,"15:00",-81.386101671,28.521185839
2015-03-25,"16:31",-81.396051212,28.510552556
2015-03-25,"17:00",-81.382895487,28.536331149
2015-03-25,"20:24",-81.38634199,28.530389478
2015-03-25,"21:57",-81.396111887,28.510175049
2015-03-26,"07:30",-81.387274062,28.516955125
2015-03-26,"07:53",-81.386151692,28.526726493
2015-03-26,"09:05",-81.38197576,28.538216085
2015-03-26,"16:37",-81.387274062,28.516955125
2015-03-26,"17:22",-81.382432563,28.549201563
2015-03-26,"17:46",-81.375847578,28.56945986
2015-03-27,"05:15",-81.396429349,28.510179356
2015-03-27,"07:31",-81.375646892,28.569106395
2015-03-27,"08:05",-81.38232889,28.552812653
2015-03-27,"08:11",-81.3862308,28.601617363
2015-03-27,"13:42",-81.380607923,28.591918351
2015-03-27,"14:15",-81.381558816,28.556290727
2015-03-27,"14:25",-81.382040664,28.537945506
2015-03-27,"14:32",-81.375838518,28.568412954
2015-03-27,"16:02",-81.416664823,28.509426675
2015-03-27,"16:13",-81.386306889,28.536034658
2015-03-27,"16:35",-81.384201995,28.533357001
2015-03-27,"16:36",-81.377257457,28.564146701
2015-03-27,"17:53",-81.382755522,28.593746252
2015-03-28,"15:47",-81.382415221,28.548532511
2015-03-28,"19:42",-81.397998316,28.510916883
2015-03-29,"07:10",-81.3757818,28.566743461
2015-03-29,"11:58",-81.375489202,28.569718726
2015-03-29,"12:50",-81.417228274,28.509322134
2015-03-29,"14:22",-81.398815856,28.510509737
2015-03-29,"15:08",-81.398269745,28.510779572
2015-03-30,"12:20",-81.421241942,28.506746575
2015-03-30,"17:45",-81.381107983,28.55720492
2015-03-31,"08:05",-81.397830166,28.509797779
2015-03-31,"09:30",-81.383473326,28.534528665
2015-04-01,"09:30",-81.384746958,28.595216525
2015-04-01,"09:49",-81.382594108,28.592816409
2015-04-01,"12:30",-81.38240889,28.548372655
2015-04-01,"14:08",-81.382101803,28.547915532
2015-04-01,"16:10",-81.386119295,28.523119978
2015-04-01,"18:00",-81.386113682,28.522567382
2015-04-01,"18:24",-81.382686389,28.549885964
2015-04-02,"07:45",-81.382477016,28.539672764
2015-04-02,"12:03",-81.386119295,28.523119978
2015-04-02,"12:36",-81.422198521,28.505748374
2015-04-02,"15:25",-81.382755522,28.593746252
2015-04-02,"16:15",-81.420956323,28.506987247
2015-04-02,"16:44",-81.382188637,28.55474068
2015-04-02,"17:10",-81.387531313,28.529633611
2015-04-02,"23:12",-81.381890705,28.538762865
2015-04-02,"23:26",-81.382429654,28.5490852
2015-04-03,"08:30",-81.38228689,28.545408138
2015-04-03,"16:00",-81.375066522,28.58348666
2015-04-03,"16:11",-81.375663832,28.572873406
2015-04-03,"18:25",-81.38221322,28.547085108
2015-04-04,"07:42",-81.421404598,28.506601346
2015-04-04,"12:42",-81.385040495,28.595778004
2015-04-04,"12:43",-81.417228274,28.509322134
2015-04-04,"16:31",-81.383480897,28.534515731
2015-04-04,"17:10",-81.385958341,28.526826374
2015-04-04,"22:00",-81.382743804,28.536866353
2015-04-05,"12:20",-81.399032351,28.510404582
2015-04-05,"18:45",-81.386430864,28.522757923
2015-04-06,"11:29",-81.375195779,28.580763798
2015-04-07,"07:50",-81.418435497,28.507989219
2015-04-07,"08:00",-81.422007678,28.505967281
2015-04-07,"18:33",-81.379864268,28.56000334
2015-04-08,"11:22",-81.382364851,28.547195783
2015-04-08,"11:40",-81.399633063,28.510103547
2015-04-08,"15:26",-81.379274727,28.560862068
2015-04-08,"21:15",-81.396429349,28.510179356
2015-04-09,"02:00",-81.396803715,28.509880386
2015-04-09,"08:00",-81.386109554,28.521927607
2015-04-09,"08:12",-81.377084326,28.564043303
2015-04-09,"09:25",-81.382536562,28.538204751
2015-04-09,"15:00",-81.386104104,28.520545621
2015-04-09,"15:05",-81.386313521,28.604292789
2015-04-09,"15:30",-81.382250352,28.553198628
2015-04-09,"15:51",-81.391182378,28.513830892
2015-04-09,"16:46",-81.386367262,28.52944741
2015-04-10,"10:13",-81.383136097,28.535666721
2015-04-10,"14:55",-81.375662094,28.572480489
2015-04-10,"16:59",-81.386426887,28.602053213
2015-04-10,"17:40",-81.382939803,28.535607861
